Command,Link,Description,Preprocessed_Description
show aaa authentication vpn default-cap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-auth-vpndfcap.htm,"This command displays VPN authentication settings, including authentication roles and servers. Issue this command to identify the default role assigned to VPN users, the name of the group of servers used to authenticate the VPN users, and the maximum number of authentication failures allowed before the user is blacklisted.",vpn authentication settings including authentication roles servers issue identify default role assigned vpn users name group servers used authenticate vpn users maximum number authentication failures allowed user blacklisted
show aaa authentication vpn default-rap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-vpn-default-rap.htm,"This command displays VPN authentication settings, including authentication roles and servers for default RAP profiles.",vpn authentication settings including authentication roles servers default rap profiles
show aaa authentication vpn default-rap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-authvpnrap.htm,"This command displays VPN authentication settings, including authentication roles and servers. Issue this command to identify the default role assigned to VPN users, the name of the group of servers used to authenticate the VPN users, and the maximum number of authentication failures allowed before the user is blacklisted.",vpn authentication settings including authentication roles servers issue identify default role assigned vpn users name group servers used authenticate vpn users maximum number authentication failures allowed user blacklisted
show aaa bandwidth-contracts,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-bdwd-cont.htm,"This command displays the contract names, ID numbers, Rate limits, and Note for your bandwidth contracts.",contract names id numbers rate limits note bandwidth contracts
show aaa cluster essid,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-cl-essid.htm,This command displays information of the bucketmap details and the counters of an ESSID.,information bucketmap details counters essid
show aaa derivation-rules server-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-derv-rulegrp.htm,This command displays derivation rules based on user information or configured for server groups.,derivation rules based user information configured server groups
show aaa derivation-rules user,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-derv-rule.htm,This command displays derivation rules based on user information.,derivation rules based user information
show aaa fqdn-server-names,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-fqdn-name.htm,This command displays a table of IP addresses that have been mapped to fully qualified domain names (FQDNs).,table ip addresses mapped fully qualified domain names fqdns
show aaa radius-attributes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-rad-attr.htm,This command displays RADIUS attributes recognized by the controller.,radius attributes recognized controller
show aaa server-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-srvr-grp.htm,This command displays configuration details for your AAA server groups.,configuration details aaa server groups
show aaa state ap-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-st-ap-grp.htm,This command displays the names and ID numbers of your AP groups.,names id numbers ap groups
show aaa state configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-st-conf.htm,"This command displays authentication state configuration information, including the numbers of successful and failed authentications.",authentication state configuration information including numbers successful failed authentications
show aaa state debug-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-st-dbg-st.htm,"This command displays debug statistics for Gateway authentication, authorization and accounting.",debug statistics gateway authentication authorization accounting
show aaa state messages,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-st-msg.htm,This command displays numbers of authentication messages sent and received.,numbers authentication messages sent received
show about,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-about.htm,"This command displays information about Instant version, build time and Instant AP model.",information instant version build time instant ap model
show access-rule,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-access-rule.htm,This command displays the details of access rules configured for the wired or wireless clients associated with an Instant AP.,details access rules configured wired wireless clients associated instant ap
show access-rule-all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-access-rule-all.htm,This command displays the details of the access rules configured for all wired and wireless profiles on the Instant AP.,details access rules configured wired wireless profiles instant ap
show acl ace-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aclace-tab.htm,This command displays an access list entry (ACE) table for an ACL.,access list entry ace table acl
show acl ace-table 4,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-acl-ace4-tab.htm,This command displays an access list entry (ACE) table for an ACL.,access list entry ace table acl
show acl domains,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-acl-domains.htm,This command displays the details of ACL domain names.,details acl domain names
show acl hits,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-acl-hits.htm,"This command displays internal ACL hit counters. Issue this command to see the number of times an ACL defined a user’s role, or traffic and firewall policies for a user session.",internal acl hit counters issue see number times acl defined user role traffic firewall policies user session
show airgroup,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-airgrp.htm,The following example displays the current status of the AirGroup configuration and configured AirGroup services.,following example current status airgroup configuration configured airgroup services
show airgroup central-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-central-cache.htm,This command displays AirGroup server cache entries that can be discovered on an AP.,airgroup server cache entries discovered ap
show airgroup central-cache checksum_table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-central-cache-checksum-table.htm,This command displays AirGroup server Central cache checksum table that can be discovered on an AP.,airgroup server central cache checksum table discovered ap
show airgroup central-cache entries,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-central-cache-entries.htm,This command displays AirGroup server cache entries that can be discovered on an AP.,airgroup server cache entries discovered ap
show airgroup central-cache servers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-central-cache-servers.htm,This command displays AirGroup server entries that can be discovered on an AP.,airgroup server entries discovered ap
show airgroup debug-log,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-debug-log.htm,This command displays AirGroup-specific debug logs.,debug logs
show airgroup debug statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-air-dbg-stats.htm,This command displays the statistical data and configuration status slave cluster mobility,statistical data configuration status slave cluster mobility
show airgroup discover-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-discvr.htm,This command displays the cache entries of a server running AirGroup services.,cache entries server running airgroup services
show airgroup discover-cache checksum_table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgp-discvr-chcksm.htm,This command displays the cache checksum table of servers running AirGroup services.,cache checksum table servers running airgroup services
show airgroup discover-cache entries,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgp-discvr-csh-entris.htm,This command displays the cache entries of servers running AirGroup services.,cache entries servers running airgroup services
show airgroup discover-cache servers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-discvr-csh-svr.htm,This command displays the servers entries connected to the Access Point.,servers entries connected access point
show airgroup global policy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-gbl-plcy.htm,This command displays the list of global policies on the server or servers running AirGroup services.,list global policies server servers running airgroup services
show airgroup service,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-srv-vbs.htm,This command displays status of configured AirGroup services and list out the service IDs for each AirGroup service.,status configured airgroup services list service ids airgroup service
show airgroup users,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-users.htm,This command displays the AirGroup user table.,airgroup user table
show airgroup wired-servers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-wird-srv.htm,This command displays entries of the wired server running the AirGroup services.,entries wired server running airgroup services
show airgroupservice,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-service.htm,This command displays additional information of AirGroup services.,additional information airgroup services
show airgroupservice-ids,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-serv-ids.htm,This command displays the list of service ids associated with the entered AirGroup services name.,list service ids associated entered airgroup services name
show alert global,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-alerts-gl.htm,This command displays the list of client alerts for an Instant AP. The client alerts occur when clients are connected to the Instant network. Alerts are generated when a client encounters problems while accessing or connecting to the Instant AP network.,list client alerts instant ap client alerts occur clients connected instant network alerts generated client encounters problems accessing connecting instant ap network
show allowed-aps,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-allowed.htm,This command displays the list of Instant APs that are allowed to join the Instant AP cluster. This command also indicates if the new Instant APs are allowed to join the network.,list instant aps allowed join instant ap cluster also indicates new instant aps allowed join network
show amon msg-buffer-size,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-amn-msg-bfr.htm,This command displays the size of the AMON packets on the gateways.,size amon packets gateways
show amon source-interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-asi.htm,This command displays the source VLAN interface of AMON packets on the gateway.,source vlan interface amon packets gateway
show amp-audit,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-show-amp-audit.htm,This command displays the set of configurations on the AirWave Management Platform.,set configurations airwave management platform
show ap active,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-active.htm,This command displays all the active APs registered to a Mobility Master.,active aps registered mobility master
show ap-alert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-ap-alert.htm,This command displays all the alerts received for the specified AP.,alerts received specified ap
show ap allowed-channels,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-allw-chanl.htm,"This command displays the allowed channels on a specific AP name, country code, or IP address.",allowed channels specific ap name country code ip address
show ap allowed-max-eirp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-alw-mx-eir.htm,The output of this command displays the regulatory power limits per channel for a specified AP.,output regulatory power limits per channel specified ap
show ap arm history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-arm-histry.htm,"For each interface on an AP, this command displays the history of the channel and power changes due to Airmatch Service. Airmatch Service does the automatic channel and power assignment for the radio interfaces on the AP.",interface ap history channel power changes due airmatch service airmatch service automatic channel power assignment radio interfaces ap
show ap arm neighbors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-arm-neighb.htm,This command displays the ARM settings on the AP's neighbors.,arm settings ap neighbors
show ap arm rf-summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-arm-rf-sum.htm,This command displays the state and statistics for all channels being monitored by an individual AP.,state statistics channels monitored individual ap
show ap arm scan-times,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-arm-scan.htm,This command displays channel scan times for an individual AP and information on the channel being scanned.,channel scan times individual ap information channel scanned
show ap association,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-assoc.htm,"This command displays the AP association table. Use this command on an AP to check if user is connected to the AP. Use this command on the gateway to check if the user is anchored to gateway cluster. This command validates whether the client is associated and indicates the last AP to which it was connected. If the flags column shows an 'A', the client is currently associated with that AP. Alternately, if the client is not currently associated, the AP with the smallest value of association time is the last AP used by the client.",ap association table use ap check user connected ap use gateway check user anchored gateway cluster validates whether client associated indicates last ap connected flags column shows client currently associated ap alternately client currently associated ap smallest value association time last ap used client
show ap blacklist-clients,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-bl-clnt.htm,This command displays a list of clients that have been denied access.,list clients denied access
show ap bss-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-bss-table.htm,This command displays the Basic Service Set (BSS) table of an AP.,basic service set bss table ap
show ap cacert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-cacert.htm,"This command displays the details of the CA certificate on an AP. The output of this command displays details such as the version, serial number, subject, issue date, expiry date, type of encryption, and RSA key information of the CA certificates uploaded on the AP.",details ca certificate ap output details version serial number subject issue date expiry date type encryption rsa key information ca certificates uploaded ap
show ap database long,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-db-long.htm,This command displays the list of access points (AP) in the database.,list access points ap database
show ap database-summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-db-sum.htm,This command displays the summary of the access points that this gateway knows about. This command is also useful for determining the number of unprovisioned APs or duplicate APs in the network.,summary access points gateway knows also useful determining number unprovisioned aps duplicate aps network
show ap debug airmatch channels,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-ch.htm,This command displays information about AirMatch channel lists. The list consists of the channel number and its corresponding flag for each radio. The description for flag abbreviation is also provided in the command output.,information airmatch channel lists list consists channel number corresponding flag radio flag abbreviation also provided output
show ap debug airmatch feasibility,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-fsb.htm,This command displays information about radio feasibility data.,information radio feasibility data
show ap debug airmatch nbr,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-nbr.htm,This command displays the list of neighboring radios.,list neighboring radios
show ap debug airmatch provision history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-prh.htm,This command displays the Airmatch service provisioned channel and power for each radio with timestamp.,airmatch service provisioned channel power radio timestamp
show ap debug airmatch provision data,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-prv.htm,"This command displays information about Airmatch Service provisioned channel, power, and operating mode data that is used by each radio on the AP.",information airmatch service provisioned channel power operating mode data used radio ap
show ap debug airmatch radio,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-rd.htm,This command displays information about AirMatch radio.,information airmatch radio
show ap debug airmatch report,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap_dbg-am-rep.htm,"This command displays information about AirMatch updates on an AP. Issue this command to show AirMatch measurement settings applied to the selected AP, as well as information about the last update for different AirMatch reports.",information airmatch updates ap issue show airmatch measurement settings applied selected ap well information last update different airmatch reports
show ap debug airmatch status {status},https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-st.htm,This command displays the Airmatch status for each radio on the AP.,airmatch status radio ap
show ap debug airslice client-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-airsl-cl-sts.htm,This command displays the application usage statistics of a single client based on its MAC address and DPI ID.,application usage statistics single client based mac address dpi id
show ap debug auth-trace-buf+,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-auth.htm,This command displays the trace buffer for authentication events associated with an AP. Use the output of this command to troubleshoot authentication errors.,trace buffer authentication events associated ap use output troubleshoot authentication errors
show ap debug c2c-nodes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-c2c-nds.htm,This command displays the c2c nodes settings for authentication events associated with an AP.,c2c nodes settings authentication events associated ap
show ap debug client-mgmt-counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-cm-mgm.htm,This command displays the message counters and numbers of each type of message sent from a client to an AP. Use this information to troubleshoot if any problem is encountered on an AP.,message counters numbers type message sent client ap use information troubleshoot problem encountered ap
show ap debug client-stats*,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-clt-st.htm,This command shows the detailed statistics about a client from an AP. Specify the MAC and BSSID for executing this command.,shows detailed statistics client ap specify mac bssid executing
show ap debug client-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-clt-tab.htm,"This command displays clients associated with an AP. The Tx_Rate, Rx_Rate, Last_ACK_SNR, and Last_Rx_SNR columns displayed in the output of this command show information that can be used for troubleshooting when clients are trying to connect to a specific AP. Use this command to verify that the transmit (Tx_Rate) and receive (Rx_Rate) rates are not too low and that the SNR is acceptable.",clients associated ap columns displayed output show information used troubleshooting clients trying connect specific ap use verify transmit receive rates low snr acceptable
show ap debug cloud-config-received,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-ccr.htm,This command displays the list of configurations received by the AP from the Aruba Central server. The output displays the last six batches of configurations received from Central. The log of configurations received from the Central server is cleared when there is a reboot or image upgrade.,list configurations received ap aruba central server output last six batches configurations received central log configurations received central server cleared reboot image upgrade
show ap debug cloud-domain-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-apd-cld-dom.htm,This command displays the domain ACL programmed list of cloud domains pushed from Central.,domain acl programmed list cloud domains pushed central
show ap debug cloud-events-pending,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-cep.htm,This command displays the pending Central server events.,pending central server events
show ap debug cloud-pingpong-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-apd-cld-ping.htm,This command displays the ping pong count statistics between the AP and Central.,ping pong count statistics ap central
show ap debug cloud-restore-status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-debug-crs.htm,"This command displays information about the status of the APs configuration restoration on the Central server. If the APs managed by Central are not able to connect to the Central server, APs can load the backed up configuration received by Central after five minutes. This command displays the restoration status of the AP configuration for the APs managed by Central.",information status aps configuration restoration central server aps managed central able connect central server aps load backed configuration received central five minutes restoration status ap configuration aps managed central
show ap debug cloud-server,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-cs.htm,This command displays the server details of the AP that is managed by a cloud server.,server details ap managed cloud server
show ap debug cloud-signon-key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-csk.htm,This command displays the Central sign on key to be used by the administrator to manually authorize the first Virtual Controller for an organization.,central sign key used administrator manually authorize first virtual controller organization
show ap debug cloud-state,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-cls.htm,This command displays the configuration details and status of the Central events associated with an AP.,configuration details status central events associated ap
show ap debug cloud-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-cst.htm,This command displays the configuration statistics associated with an AP managed by the Central server.,configuration statistics associated ap managed central server
show ap debug core-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-debug-ci.htm,This command displays the core file history running on an AP.,core file history running ap
show ap debug crash-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-crash.htm,This command displays log information of the crash (if it exists) for an individual AP. The stored information is cleared from the flash after the AP reboots.,log information crash exists individual ap stored information cleared flash ap reboots
show ap debug dot1x-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-dot1x.htm,This command displays the aggregate 802.11X debug statistics for an AP.,aggregate debug statistics ap
show ap debug driver-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-driv.htm,This command displays the AP driver configuration. Use this command to review configuration changes made since the AP driver was last reset.,ap driver configuration use review configuration changes made since ap driver last reset
show ap debug lldp counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-lldp-countrs.htm,"This command displays the Link Layer Discovery Protocol (LLDP) counters for a specific AP, or all APs sending or receiving LLDP Protocol Data Units (PDUs).",link layer discovery protocol lldp counters specific ap aps sending receiving lldp protocol data units pdus
show ap debug lldp info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-lldp-info.htm,This command displays the Link Layer Discovery Protocol (LLDP) information of the selected APs.,link layer discovery protocol lldp information selected aps
show ap debug lldp neighbor interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-lldp-ngbr-intrfc.htm,This command displays the name of the AP interface sending or receiving LLDP Link Layer Discovery Protocol (LLDP) Protocol Data Units (PDUs).,name ap interface sending receiving lldp link layer discovery protocol lldp protocol data units pdus
show ap debug lldp state,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-lldp-state.htm,This command displays the Link Layer Discovery Protocol (LLDP) interfaces information sending or receiving LLDP Protocol Data Units (PDUs).,link layer discovery protocol lldp interfaces information sending receiving lldp protocol data units pdus
show ap debug mgmt-frames+,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-mgmt.htm,This command displays the trace information for the 802.11 management frames.,trace information management frames
show ap debug persistent-clients,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-pc.htm,This command displays the information about the persistent AP clients. Use the output of this command to view information about the clients that are persistently connected to an AP.,information persistent ap clients use output view information clients persistently connected ap
show ap debug pmk-sync-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-pmk-sts.htm,This command displays the PMK synchronization statistics for the authentication servers configured on an AP.,pmk synchronization statistics authentication servers configured ap
show ap debug radio-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-db-rad-in.htm,This command displays the radio debug messages of the AP driver.,radio debug messages ap driver
show ap debug radio-stats 0,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-rad-st.htm,This command displays aggregate radio debug statistics of an AP for radio ID 0 (zero).,aggregate radio debug statistics ap radio id 0 zero
show ap debug radio-stats 1,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-rad-st1.htm,This command displays aggregate radio debug statistics of an AP for radio ID 1 (one).,aggregate radio debug statistics ap radio id 1 one
show ap debug radius-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-rs.htm,This command displays the RADIUS statistics for the authentication servers configured on an AP. Use the output of this command to view the authentication server details.,radius statistics authentication servers configured ap use output view authentication server details
show ap debug shaping-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-shp-tbl.htm,This command displays shaping information for clients associated to an AP.,shaping information clients associated ap
show ap debug stm-bucketmap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-stmb.htm,"This command displays bucket map received from cluster by AP STM, the bucketmap, and SSID mapping messages received.",bucket map received cluster ap stm bucketmap ssid mapping messages received
show ap debug stm-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-stmc.htm,This command displays the AP STM configuration information.,ap stm configuration information
show ap debug stm-role,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-stm.htm,This command displays the STM user roles configured for the SSIDs in an AP. Use the output of this command to view the user roles configured for the AP STM. This output includes details of the VLANs assigned to each SSID and information if the Calea feature is enabled or disabled.,stm user roles configured ssids ap use output view user roles configured ap stm output includes details vlans assigned ssid information calea feature enabled disabled
show ap debug subscribe-event-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-apd-subsc-evt.htm,This command displays the recorded details of the crash event.,recorded details crash event
show ap debug system-status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-sys-st.htm,This command displays the detailed system status information for an AP.,detailed system status information ap
show ap dtls ephemeral-neighlist,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-dtls-en.htm,This command displays the list of ephemeral neighboring APs details like MAC address and IP on the current AP device in the network. Ephemeral neighbor list is fetched only in the following scenarios:,list ephemeral neighboring aps details like mac address ip current ap device network ephemeral neighbor list fetched following scenarios
